geo,year,expenditure
PL,1997,0
PT,1997,0.172
SE,1997,0.299
SI,1997,0.228
SK,1997,0.184
UK,1997,0.222
AT,1996,0.281
BE,1996,0.261
CH,1996,0.205
CZ,1996,0.157
DE,1996,0.27699999999999997
DK,1996,0.298
EL,1996,0.188
ES,1996,0.203
FI,1996,0.29600000000000004
FR,1996,0.28300000000000003
IE,1996,0.165
IS,1996,0.18
IT,1996,0.22399999999999998
LT,1996,0.128
LU,1996,0.201
MT,1996,0.16699999999999998
NL,1996,0.256
NO,1996,0.247
PL,1996,0
PT,1996,0.174
SE,1996,0.309
SI,1996,0.22399999999999998
SK,1996,0.183
UK,1996,0.223
AT,1995,0.28
BE,1995,0.256
CH,1995,0.198
CZ,1995,0.155
DE,1995,0.265
DK,1995,0.305
EL,1995,0.185
ES,1995,0.203
FI,1995,0.298
FR,1995,0.282
IE,1995,0.174
IS,1995,0.182
IT,1995,0.222
LU,1995,0.198
MT,1995,0.156
NL,1995,0.267
NO,1995,0.254
PL,1995,0
PT,1995,0.182
SE,1995,0.315
SK,1995,0.175
UK,1995,0.225
CH,1994,0.19399999999999998
DE,1994,0.26
DK,1994,0.31
FI,1994,0.318
FR,1994,0.28
NO,1994,0.263
SE,1994,0.33799999999999997
UK,1994,0.24600000000000002
CH,1993,0.192
DE,1993,0.26
DK,1993,0.301
FI,1993,0.326
FR,1993,0.281
NO,1993,0.268
SE,1993,0.35200000000000004
UK,1993,0.248
CH,1992,0.17800000000000002
DE,1992,0.254
DK,1992,0.28300000000000003
FI,1992,0.316
FR,1992,0.267
NO,1992,0.26899999999999996
UK,1992,0.24
CH,1991,0.16
DE,1991,0.24
DK,1991,0.278
FI,1991,0.28
FR,1991,0.26
NO,1991,0.258
UK,1991,0.221
CH,1990,0.151
DK,1990,0.26899999999999996
FI,1990,0.23399999999999999
FR,1990,0.254
NO,1990,0.248
UK,1990,0.195
