region,year_gdp,log_gdp
BE31,2000,9.113569525918116
BE31,2001,9.162137035589641
BE31,2002,9.18144386037177
BE31,2003,9.255483895225417
BE31,2004,9.332149071541142
BE31,2005,9.337164194062492
BE31,2006,9.425838773464694
BE31,2007,9.465260071228228
BE31,2008,9.469480212803376
BE31,2009,9.588820642352113
BE31,2010,9.531799038296743
BE31,2011,9.584335452614859
BE31,2012,9.629653814402115
BE31,2013,9.673087108555283
BE31,2014,9.697361503656008
BE31,2015,9.759603325207486
BE31,2016,9.808002557452502
BE31,2017,9.910736713760688
BE31,2018,10.031930897974085
BE31,2019,10.007853423699082
BE32,1999,9.932975963950781
BE32,2000,9.953832222121413
BE32,2001,9.970355234072446
BE32,2002,10.015056654970486
BE32,2003,10.078495765235846
BE32,2004,10.11406771393008
BE32,2005,10.150320286343806
BE32,2006,10.199930635017976
BE32,2007,10.238552370636945
BE32,2008,10.19532024921718
BE32,2009,10.244318490488055
BE32,2010,10.287470904399813
BE32,2011,10.298800299384355
BE32,2012,10.308393504345542
BE32,2013,10.333532746578573
BE32,2014,10.354905788355858
BE32,2015,10.375242459898763
BE32,2016,10.404189807478744
BE32,2017,10.44138665968601
BE32,2018,10.459035076295597
BE32,2019,10.407571904905382
BE33,1999,9.84782419700992
BE33,2000,9.869046200021772
BE33,2001,9.891643184125728
BE33,2002,9.91452788318303
BE33,2003,9.966026106321596
BE33,2004,10.009571306594
BE33,2005,10.053997183210216
BE33,2006,10.106407579989625
BE33,2007,10.140842442711095
BE33,2008,10.127609025529026
BE33,2009,10.163661342742554
BE33,2010,10.210950928527327
BE33,2011,10.21732482601076
BE33,2012,10.228195503367964
BE33,2013,10.253141809022631
BE33,2014,10.270776122150858
BE33,2015,10.298721500362232
BE33,2016,10.33484845156426
BE33,2017,10.364728211362218
BE33,2018,10.397213201548155
BE33,2019,10.340568568892662
BE34,1999,8.386366708650952
BE34,2000,8.393704911761988
BE34,2001,8.431027275105802
BE34,2002,8.453486324358524
BE34,2003,8.486931902488688
BE34,2004,8.537187957115396
BE34,2005,8.603640576058746
BE34,2006,8.639862049756523
BE34,2007,8.653491751897873
BE34,2008,8.641633131745785
BE34,2009,8.678042527918981
BE34,2010,8.71915396346254
BE34,2011,8.696986555021358
BE34,2012,8.70733244357572
BE34,2013,8.748579477857676
BE34,2014,8.776682558091647
BE34,2015,8.795438376180346
BE34,2016,8.831543971476389
BE34,2017,8.863571910687433
BE34,2018,8.89959435992585
BE34,2019,8.845902517321218
BE35,1999,8.932141194413727
BE35,2000,8.964233929989735
BE35,2001,8.997686609941672
BE35,2002,9.036474960989766
BE35,2003,9.0894194182003
BE35,2004,9.132850070806668
BE35,2005,9.186432851120628
BE35,2006,9.225958767374683
BE35,2007,9.273605269899926
BE35,2008,9.263876399556489
BE35,2009,9.31729701314769
BE35,2010,9.347078617148172
BE35,2011,9.369598841947862
BE35,2012,9.382755521952294
BE35,2013,9.403512844074374
BE35,2014,9.421145719737105
BE35,2015,9.450950490789024
BE35,2016,9.479672611315081
BE35,2017,9.511963810395791
BE35,2018,9.533706381710257
BE35,2019,9.4864118010184
BEZ,1999,5.803235575849561
BEZ,2000,5.840089179204041
BEZ,2001,5.815383477903482
BEZ,2002,5.655747025617644
BEZ,2003,5.395171807911919
BEZ,2004,5.175867206791472
BEZ,2005,5.159687283378507
BEZ,2006,5.18604412406525
BEZ,2007,5.224347846347863
BEZ,2008,5.264346846976883
BEZ,2009,5.5002372814106195
BEZ,2010,5.535245472832863
BEZ,2011,5.587772865548959
BEZ,2012,5.604624903122983
BEZ,2013,5.5964199563277015
BEZ,2014,5.555437133417177
BEZ,2015,5.198386527922987
BEZ,2016,5.253633758921397
BEZ,2017,5.5151208621160475
BEZ,2018,5.62278931544667
BEZ,2019,5.723715812363651
BEZZ,1999,5.803235575849561
BEZZ,2000,5.840089179204041
BEZZ,2001,5.815383477903482
BEZZ,2002,5.655747025617644
BEZZ,2003,5.395171807911919
BEZZ,2004,5.175867206791472
BEZZ,2005,5.159687283378507
BEZZ,2006,5.18604412406525
BEZZ,2007,5.224347846347863
BEZZ,2008,5.264346846976883
BEZZ,2009,5.5002372814106195
BEZZ,2010,5.535245472832863
BEZZ,2011,5.587772865548959
BEZZ,2012,5.604624903122983
BEZZ,2013,5.5964199563277015
BEZZ,2014,5.555437133417177
BEZZ,2015,5.198386527922987
BEZZ,2016,5.253633758921397
BEZZ,2017,5.5151208621160475
BEZZ,2018,5.62278931544667
BEZZ,2019,5.723715812363651
BG,1999,9.575452819853966
BG,2000,9.674407037277001
BG,2001,9.768715390475473
BG,2002,9.841522251160345
BG,2003,9.956704570380614
BG,2004,10.087470228906716
BG,2005,10.218662459635857
BG,2006,10.387285291585123
BG,2007,10.524539464863459
BG,2008,10.52989806446819
BG,2009,10.552811886352577
BG,2010,10.632940384273994
BG,2011,10.651521276525001
BG,2012,10.646619897254233
BG,2013,10.66956056036321
BG,2014,10.732308547844497
BG,2015,10.79493482544317
BG,2016,10.869163699953887
BG,2017,10.937110729677174
BG,2018,11.027735911037851
BG,2019,11.024040051522142
BG3,1999,8.866241728098373
BG3,2000,8.929006109480536
BG3,2001,8.997763298291389
BG3,2002,9.047822618948304
BG3,2003,9.140453172125381
BG3,2004,9.263284752570426
BG3,2005,9.3444918223251765
BG3,2006,9.470371917769846
BG3,2007,9.600549700192897
BG3,2008,9.58360317352876
BG3,2009,9.582244560042296
BG3,2010,9.658750659052467
BG3,2011,9.69269306173227
BG3,2012,9.690948202413692
BG3,2013,9.732051928387417
BG3,2014,9.758805074155012
BG3,2015,9.827831998880274
BG3,2016,9.898288058564754
BG3,2017,9.9530873888326
BG3,2018,9.987032888071248
BG3,2019,9.968202620588375
BG31,1999,7.419955956927661
BG31,2000,7.503995004773015
BG31,2001,7.545690972738525
BG31,2002,7.561350491529968
BG31,2003,7.623812997375185
BG31,2004,7.7217297456512854
BG31,2005,7.757559994580522
BG31,2006,7.886926908895493
BG31,2007,7.985746405445753
BG31,2008,7.948939705747724
BG31,2009,7.9355587626393165
BG31,2010,8.008508607321495
BG31,2011,8.00728714470963
BG31,2012,7.9916058137762676
BG31,2013,8.026317242957868
BG31,2014,8.035686859010703
BG31,2015,8.078257128567396
BG31,2016,8.17191590385837
BG31,2017,8.27829620375591
BG31,2018,8.284213927679916
BG31,2019,8.341431670459087
BG32,1999,7.312900335879376
BG32,2000,7.428855933355872
BG32,2001,7.543739339808708
BG32,2002,7.542128623963692
BG32,2003,7.621518481433364
BG32,2004,7.738710320029167
BG32,2005,7.809456093748633
BG32,2006,7.9387237857325905
BG32,2007,8.046395647103319
BG32,2008,8.029677110419204
BG32,2009,8.010502341014416
BG32,2010,8.093138360146192
BG32,2011,8.13290623472527
BG32,2012,8.139446357865749
BG32,2013,8.176284729281388
BG32,2014,8.199890048117597
BG32,2015,8.242545797234913
BG32,2016,8.30662276604289
BG32,2017,8.369822475601346
BG32,2018,8.430202905113289
BG32,2019,8.431245248779804
BG33,1999,7.4521471982317316
BG33,2000,7.515714872980631
BG33,2001,7.601187418937297
BG33,2002,7.6714774122116856
BG33,2003,7.779563156893035
BG33,2004,7.899554145182449
BG33,2005,8.041287378501822
BG33,2006,8.192340782351813
BG33,2007,8.340367703527765
BG33,2008,8.30014850416385
BG33,2009,8.304378612132863
BG33,2010,8.398236216963266
BG33,2011,8.43342237631151
BG33,2012,8.427642593331658
BG33,2013,8.472038909409127
BG33,2014,8.512695090109798
BG33,2015,8.55187670394749
BG33,2016,8.620341662306014
BG33,2017,8.69461275303996
