NUTS3,UKG32,Solihull,"4,484","4,572","4,811","5,051","5,162","5,354","5,473","5,704","5,885","6,070","6,010","5,560","6,186","6,487","6,745","7,013","7,349","8,170","9,270","9,895","10,601"
NUTS3,UKG33,Coventry,"4,972","5,080","5,198","5,445","5,590","5,904","6,177","6,521","6,591","6,918","7,024","6,953","7,320","7,707","8,286","8,554","9,312","10,002","10,487","10,177","10,445"
NUTS3,UKG36,Dudley,"3,668","3,836","3,863","4,045","4,177","4,263","4,459","4,627","4,841","4,981","5,014","4,731","4,898","5,145","5,266","5,241","5,381","5,564","5,749","6,118","6,449"
NUTS3,UKG37,Sandwell,"3,657","3,740","3,759","3,881","4,031","4,250","4,465","4,607","4,872","4,895","4,926","4,879","5,013","4,966","5,013","5,218","5,768","6,084","6,331","6,571","7,083"
NUTS3,UKG38,Walsall,"3,739","3,873","3,763","3,633","3,629","3,727","3,985","4,223","4,451","4,653","4,925","4,666","4,785","5,134","5,046","4,943","5,341","5,470","5,461","5,938","5,501"
NUTS3,UKG39,Wolverhampton,"3,322","3,446","3,531","3,689","3,831","3,991","4,216","4,448","4,628","4,719","4,728","4,596","4,831","5,079","5,302","5,349","5,120","4,876","5,067","5,298","5,453"
NUTS1,UKH,East of England,"86,653","90,442","94,963","99,556","104,038","110,558","114,338","120,629","127,148","132,085","135,449","131,354","135,051","138,326","142,533","148,716","157,366","162,872","170,702","180,206","186,462"
NUTS2,UKH1,East Anglia,"33,023","34,495","36,296","38,250","40,944","42,433","43,760","46,490","49,719","51,324","52,365","51,367","53,160","55,272","57,646","59,747","62,382","64,146","66,546","69,481","71,915"
NUTS3,UKH11,Peterborough,"3,224","3,329","3,411","3,586","3,728","3,940","4,182","4,635","4,986","5,271","5,180","4,787","5,006","5,233","5,505","5,169","5,593","5,598","5,973","6,535","7,240"
NUTS3,UKH12,Cambridgeshire CC,"9,148","9,660","10,103","10,704","11,360","11,834","12,280","12,923","13,939","14,471","14,913","14,875","15,512","16,033","16,899","17,279","18,159","19,039","19,721","20,566","21,522"
NUTS3,UKH14,Suffolk,"10,704","11,134","11,711","12,260","12,781","13,389","13,936","14,941","15,734","16,117","16,301","15,799","16,295","17,104","17,614","18,653","19,255","19,572","20,407","21,064","21,549"
NUTS3,UKH15,Norwich and East Norfolk,"4,609","4,786","5,093","5,327","5,616","5,938","6,209","6,531","7,123","7,320","7,608","7,645","7,793","8,002","8,314","8,928","9,192","9,481","9,705","10,179","10,471"
NUTS3,UKH16,North and West Norfolk,"2,584","2,689","2,817","2,965","3,140","3,279","3,376","3,536","3,713","3,833","3,951","3,900","4,062","4,215","4,472","4,808","4,903","5,012","5,235","5,369","5,419"
